,estimator,depth,bs,split,feature,accuracy
70,10,20,False,2,log2,0.8775510204081632
71,10,20,False,3,log2,0.9081632653061225
72,10,25,True,1,auto,0.8571428571428571
73,10,25,True,2,auto,0.8571428571428571
74,10,25,True,3,auto,0.8469387755102041
75,10,25,True,1,sqrt,0.826530612244898
76,10,25,True,2,sqrt,0.826530612244898
77,10,25,True,3,sqrt,0.8367346938775511
78,10,25,True,1,log2,0.8877551020408163
79,10,25,True,2,log2,0.8877551020408163
80,10,25,True,3,log2,0.8877551020408163
81,10,25,False,1,auto,0.8163265306122449
82,10,25,False,2,auto,0.8163265306122449
83,10,25,False,3,auto,0.8163265306122449
84,10,25,False,1,sqrt,0.8775510204081632
85,10,25,False,2,sqrt,0.8775510204081632
86,10,25,False,3,sqrt,0.8673469387755102
87,10,25,False,1,log2,0.8775510204081632
88,10,25,False,2,log2,0.8775510204081632
89,10,25,False,3,log2,0.9081632653061225
90,10,30,True,1,auto,0.8571428571428571
91,10,30,True,2,auto,0.8571428571428571
92,10,30,True,3,auto,0.8469387755102041
93,10,30,True,1,sqrt,0.826530612244898
94,10,30,True,2,sqrt,0.826530612244898
95,10,30,True,3,sqrt,0.8367346938775511
96,10,30,True,1,log2,0.8877551020408163
97,10,30,True,2,log2,0.8877551020408163
98,10,30,True,3,log2,0.8877551020408163
99,10,30,False,1,auto,0.8163265306122449
100,10,30,False,2,auto,0.8163265306122449
101,10,30,False,3,auto,0.8163265306122449
102,10,30,False,1,sqrt,0.8775510204081632
103,10,30,False,2,sqrt,0.8775510204081632
104,10,30,False,3,sqrt,0.8673469387755102
105,10,30,False,1,log2,0.8775510204081632
106,10,30,False,2,log2,0.8775510204081632
107,10,30,False,3,log2,0.9081632653061225
108,25,5,True,1,auto,0.8571428571428571
109,25,5,True,2,auto,0.8571428571428571
110,25,5,True,3,auto,0.8571428571428571
111,25,5,True,1,sqrt,0.8061224489795918
112,25,5,True,2,sqrt,0.8061224489795918
