,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,Difference
8,piper94 07-10-94,2,3.676666667,4,3.566854824,4,2
10,piper94 09-11-94,2,4.73,4,4.644088934,7,2
7,piper94 09-11-94,2,4.2,4,3.909524106,3,2
19,piper94 09-11-94,2,3.97,4,2.95246255,3,2
3,piper94 09-11-94,2,4.236666667,4,4.004814733,4,2
5,piper94 09-11-94,2,4.113333333,4,3.729867463,3,2
6,piper94 09-11-94,2,3.63,4,3.062020011,3,2
9,piper94 09-11-94,2,4.27,4,4.306617758,4,2
2,piper94 09-11-94,2,4.233333333,4,4.667209196,7,2
25,piper94 09-11-94,2,4.17,4,3.992793384,5,2
7,piper94 09-11-94,2,4.68,4,3.789090606,5,2
6,piper94 09-11-94,2,4.303333333,4,4.560588165,4,2
11,SS03,2,3.466666667,4,3.176816501,4,2
14,SS03,2,3.213333333,4,3.048091723,4,2
16,SS03,2,3.163333333,4,2.557507608,1,2
10,SS03,2,3.426666667,4,2.54585576,4,2
9,SS03,2,3.433333333,4,3.472706952,4,2
12,SS03,2,3.206666667,4,2.480253382,3,2
9,SS03,2,3.57,4,2.837966687,3,2
8,SS03,2,3.293333333,4,2.433642554,3,2
14,SS03,2,3.343333333,4,2.918855601,4,2
6,SS03,2,4.11,4,3.018714305,4,2
8,SS03,2,3.66,4,3.087886641,4,2
10,SS03,2,3.64,4,3.356622963,3,2
11,SS03,2,3.783333333,4,3.381395207,4,2
8,SS03,2,3.503333333,4,3.216938543,4,2
10,SS03,2,3.913333333,4,3.541435142,4,2
11,SS03,2,3.743333333,4,3.283509808,4,2
14,SS03,2,3.383333333,4,2.465442539,2,2
9,SS03,2,3.746666667,4,2.803122533,4,2
9,SS03,2,3.633333333,4,2.557632652,3,2
11,SS03,2,4.073333333,4,3.583440793,4,2
7,SS03,2,3.753333333,4,3.273667652,4,2
9,SS03,2,3.713333333,4,3.135495538,4,2
24,SS07,2,2.683333333,4,1.988963115,1,2
18,SS07,2,3.056666667,4,2.15644033,1,2
13,SS07,2,2.97,4,2.371032632,3,2
9,SS09,2,3.156666667,4,2.785686604,3,2
16,SS09,2,3.126666667,4,3.350648188,2,2
18,SS09,2,2.54,4,2.577342019,3,2
10,SS09,2,3.006666667,4,3.118393346,3,2
15,SS09,2,3.49,4,3.180167295,3,2
8,SS09,2,2.893333333,4,2.978201844,3,2
10,SS09,2,2.706666667,4,2.694158684,3,2
4,SS09,2,2.743333333,4,2.857669039,3,2
9,SS09,2,3.186666667,4,2.796560663,3,2
14,SS09,2,2.73,4,3.121021615,3,2
11,SS09,2,2.976666667,4,3.408308846,3,2
10,SS09,2,2.76,4,3.191729574,3,2
14,SS09,2,2.753333333,4,2.815133839,3,2
11,SS09,2,2.873333333,4,2.905328635,3,2
13,SS09,2,2.703333333,4,3.006810911,3,2
14,SS09,2,3.046666667,4,2.788023396,3,2
13,SS09,2,2.93,4,2.526215213,3,2
12,SS09,2,3.48,4,3.592056019,3,2
12,SS09,2,3.183333333,4,2.824127331,3,2
15,SS09,2,2.72,4,2.770572845,3,2
11,SS09,2,3.68,4,2.937460946,3,2
10,SS09,2,2.43,4,3.073979072,3,2
29,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.44,4,3.190532588,4,2
4,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.516666667,4,3.211830424,4,2
31,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.896666667,4,3.463908378,5,2
1,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.833333333,4,3.513383319,5,2
29,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.356666667,4,3.19852207,5,2
9,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.546666667,4,3.231899246,4,2
5,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,4.016666667,4,3.578290422,4,2
33,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.086666667,4,3.130671871,4,2
21,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.586666667,4,3.20316759,4,2
34,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.716666667,4,3.478563376,4,2
27,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.946666667,4,3.450985677,5,2
36,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,2.8,4,3.250025843,5,2
3,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.72,4,3.165250255,4,2
28,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.493333333,4,2.753770242,3,2
6,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp,1,3.763333333,3,2.917949502,3,2
3,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp,1,3.476666667,3,2.772510879,2,2
