,Unnamed: 0,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,Difference
107,11,piper94 07-10-94,2,4.31,5,3.8018440160000004,4,3
108,6,piper94 07-10-94,2,3.87,5,4.058969502,4,3
109,11,piper94 07-10-94,2,3.69,5,3.552717815,3,3
110,3,piper94 09-11-94,2,4.33,5,3.7753951160000003,3,3
111,8,piper94 09-11-94,2,4.19,5,3.949904021,3,3
112,3,piper94 09-11-94,2,4.15,5,3.798861613,3,3
113,5,piper94 09-11-94,2,4.396666667,5,4.306601781,5,3
114,9,piper94 09-11-94,2,4.283333333,5,4.141011879,3,3
115,36,piper94 09-11-94,2,4.42,5,4.572848908,7,3
116,11,piper94 09-11-94,2,4.096666667,5,3.843380919,3,3
117,7,piper94 09-11-94,2,5.023333333,5,5.074527646,7,3
118,26,piper94 09-11-94,2,4.113333333,5,3.572999287,5,3
119,22,piper94 09-11-94,2,4.49,5,3.735130792,3,3
120,4,piper94 09-11-94,2,4.5366666669999995,5,3.698581579,5,3
121,1,piper94 09-11-94,2,4.133333333,5,3.9305848780000003,5,3
122,7,piper94 09-11-94,2,4.74,5,4.302384203,5,3
123,6,piper94 09-11-94,2,4.47,5,3.714336575,5,3
124,5,piper94 09-11-94,2,4.666666667,5,4.156608261000001,5,3
125,4,piper94 09-11-94,2,4.45,5,4.278941495,5,3
126,8,piper94 09-11-94,2,3.89,5,3.642272239,5,3
127,6,piper94 09-11-94,2,4.533333333,5,3.809584913,3,3
128,5,piper94 09-11-94,2,4.823333333,5,4.390642713,7,3
129,8,piper94 09-11-94,2,4.763333333,5,4.856953202,4,3
130,4,piper94 09-11-94,2,4.333333333,5,3.677144015,3,3
131,7,piper94 09-11-94,2,4.74,5,4.107912095,5,3
132,11,piper94 09-11-94,2,4.12,5,3.452043383,5,3
133,8,piper94 09-11-94,2,4.686666667,5,3.730159305,7,3
134,34,piper94 09-11-94,2,4.156666667,5,3.881412664,5,3
135,32,piper94 09-11-94,2,4.326666667,5,4.199784295,7,3
136,21,piper94 09-11-94,2,3.9866666669999997,5,3.7344425880000003,4,3
137,5,piper94 09-11-94,2,4.366666667,5,3.922499817,5,3
138,8,piper94 09-11-94,2,3.98,5,3.632443556,3,3
139,27,piper94 09-11-94,2,5.046666667,5,4.1945106569999995,3,3
140,6,piper94 09-11-94,2,4.733333333,5,3.65896507,2,3
141,3,piper94 09-11-94,2,4.51,5,4.196229139,5,3
142,11,piper94 09-11-94,2,4.016666667,5,3.1456731510000004,2,3
143,5,piper94 09-11-94,2,4.0366666669999995,5,3.547093135,2,3
144,7,piper94 09-11-94,2,4.006666667,5,3.424850285,3,3
145,32,piper94 09-11-94,2,4.613333333,5,3.73917585,5,3
146,6,piper94 09-11-94,2,4.7466666669999995,5,4.046709902,5,3
147,4,piper94 09-11-94,2,4.646666667,5,4.056450057,7,3
148,7,piper94 09-11-94,2,4.763333333,5,4.5240355569999995,7,3
149,6,piper94 09-11-94,2,4.53,5,4.196011072,5,3
150,4,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.47,5,2.768870831,1,3
151,37,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.4866666669999997,5,3.5867907789999998,3,3
152,31,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.353333333,5,2.53151266,2,3
153,31,you-adulterous-people-steve-shepherd-sermon-on-adultery-165397.asp,2,3.3233333330000003,5,2.883336864,5,3
158,29,535.html,5,5.403333333,7,5.489415898,7,2
159,33,535.html,5,4.23,7,3.9205326719999998,2,2
160,39,535.html,5,4.133333333,7,4.625555558,7,2
161,40,12.html,3,5.01,5,5.0508373330000005,3,2
162,28,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.863333333,5,5.375676375,5,2
163,40,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.2766666669999998,5,4.946722928,5,2
164,29,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.383333333,5,5.051046958,5,2
165,23,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.8,5,4.822222787,5,2
166,34,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.113333333,5,5.255727478,5,2
167,33,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.76,5,4.775618553,5,2
168,29,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.476666667,5,5.68332974,5,2
169,26,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.91,5,4.977543112,5,2
170,30,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.8233333330000003,5,5.203925037,5,2
171,20,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.596666667,5,5.1635450480000005,5,2
172,29,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.08,5,5.189801426,5,2
173,28,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.106666667,5,5.021539075,5,2
174,23,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.026666667,5,5.003038995,5,2
175,41,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.73,5,5.078768368,5,2
176,41,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.086666667,5,5.181163117,5,2
177,31,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.866666667,5,5.047375043,5,2
178,33,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.416666667,5,4.803332361,5,2
179,24,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.026666667,5,4.956129991,5,2
180,20,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.283333333,5,5.027373099,5,2
181,36,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.2,5,4.668402702,5,2
182,29,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.303333333,5,5.330326399,5,2
183,25,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.566666667,5,4.962897814,5,2
184,32,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.016666667,5,4.973791298,5,2
185,26,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.896666667,5,5.361666638,5,2
186,34,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,5.153333333,5,5.281397633,5,2
187,29,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,4.283333333,5,4.870901273,5,2
188,34,"2004-08-29 Set Theory for Moderns, Rev. Mark Belletini.PDF",3,3.59,5,4.344611077,5,2
189,26,339.html,3,2.856666667,5,3.204833822,5,2
190,24,564.html,3,4.133333333,5,3.58030928,3,2
191,31,564.html,3,3.78,5,3.1028658589999996,3,2
192,28,564.html,3,4.056666667,5,3.332924601,3,2
193,23,564.html,3,3.693333333,5,3.8440579039999996,3,2
194,26,564.html,3,3.7633333330000003,5,3.679459838,3,2
195,27,564.html,3,4.373333333,5,4.234634401,4,2
196,28,564.html,3,4.176666667,5,4.2381673630000005,3,2
197,31,564.html,3,4.046666667,5,2.805772495,3,2
198,34,564.html,3,4.066666667,5,3.60842581,3,2
199,27,564.html,3,4.303333333,5,3.866945181,3,2
200,32,564.html,3,4.013333333,5,3.761622255,3,2
201,32,564.html,3,4.086666667,5,3.583243651,3,2
202,33,564.html,3,3.983333333,5,3.0825494539999996,3,2
203,25,564.html,3,4.44,5,3.309197905,3,2
204,35,564.html,3,3.496666667,5,3.266528454,2,2
205,34,564.html,3,3.8033333330000003,5,2.7725912010000004,3,2
206,32,564.html,3,4.196666667,5,3.37161156,3,2
207,27,564.html,3,3.7233333330000002,5,4.403231423,4,2
208,22,ACLU02,3,4.546666667,5,3.77569336,3,2
209,20,ACLU02,3,4.453333333,5,3.484000312,3,2
210,27,ACLU02,3,3.656666667,5,3.961327353,3,2
211,22,ACLU02,3,4.546666667,5,4.123718445,3,2
212,1,ACLU02,3,4.173333333,5,3.602186171,3,2
213,19,ACLU02,3,4.45,5,3.677010925,3,2
214,16,ACLU02,3,4.836666667,5,3.5337807,3,2
215,32,ACLU02,3,3.876666667,5,3.419729106,3,2
216,31,ACLU02,3,5.053333333,5,3.905425183,2,2
217,23,ACLU02,3,4.5,5,3.720977905,2,2
218,14,ACLU02,3,5.023333333,5,4.067312976,3,2
219,21,ACLU02,3,4.353333333,5,3.598013341,3,2
220,18,ACLU02,3,4.2466666669999995,5,3.574851971,3,2
221,18,ACLU02,3,4.583333333,5,3.7453732619999998,3,2
222,15,ACLU02,3,4.11,5,3.6791256960000003,3,2
223,28,ACLU02,3,3.366666667,5,3.607354071,4,2
224,11,ACLU05,3,3.903333333,5,3.841874419,3,2
225,11,ACLU05,3,4.053333333,5,3.994995699,3,2
226,15,ACLU05,3,3.656666667,5,4.272868468,3,2
227,11,ACLU05,3,3.67,5,3.572388143,3,2
228,15,ACLU05,3,3.976666667,5,4.071997465,3,2
229,11,ACLU05,3,4.023333333,5,4.630012348,5,2
230,16,ACLU05,3,3.69,5,3.5644568939999997,3,2
231,12,ACLU05,3,4.16,5,4.302818639,4,2
232,9,ACLU05,3,3.316666667,5,3.8758556580000003,4,2
233,12,ACLU05,3,4.176666667,5,4.223988255,3,2
234,8,ACLU05,3,3.9933333330000003,5,4.25600493,3,2
235,10,ACLU05,3,4.103333333,5,4.224419958,4,2
236,11,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.973333333,5,5.063563753,3,2
237,17,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.62,5,5.028147042,3,2
238,3,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.616666667,5,4.665837592,4,2
239,13,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.51,5,5.423344582,5,2
240,5,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.116666667,5,5.330944537,4,2
241,12,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.98,5,4.868941416,3,2
242,5,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.95,5,4.364508319,4,2
243,21,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.0033333330000005,5,4.8230254960000005,3,2
244,19,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.926666667,5,4.885881643,4,2
245,14,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.46,5,4.761024818,5,2
246,15,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.266666667,5,5.437721185,7,2
247,14,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,4.983333333,5,5.487846947,4,2
248,13,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,3,5.38,5,5.208296853999999,3,2
249,4,MalcolmX-LettersFromAbroad,3,3.46,5,3.8781967510000004,4,2
250,6,MalcolmX-LettersFromAbroad,3,3.333333333,5,3.355304293,3,2
251,5,MalcolmX-LettersFromAbroad,3,3.836666667,5,3.3375491360000002,3,2
252,7,MalcolmX-LettersFromAbroad,3,3.58,5,3.8640355310000003,3,2
253,4,MalcolmX-LettersFromAbroad,3,3.9666666669999997,5,3.508391651,3,2
254,35,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.663333333,5,3.9973560439999996,3,2
255,31,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.316666667,5,4.100298208,5,2
256,33,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.41,5,4.29295986,5,2
257,34,overcoming-lifes-problems-steve-shepherd-sermon-on-endurance-32141.asp,3,3.373333333,5,3.885510598,3,2
258,23,piper80 122480,3,3.94,5,3.118311944,3,2
259,20,piper80 122480,3,3.7366666669999997,5,2.696187647,1,2
260,8,piper80 122480,3,3.753333333,5,2.6355835069999998,3,2
261,0,piper81 041781,3,3.7966666669999998,5,2.795982216,3,2
262,1,piper81 041781,3,3.683333333,5,2.689999035,3,2
263,20,piper89 6-4-89,3,4.4566666669999995,5,4.093869624,3,2
264,20,piper89 6-4-89,3,4.55,5,4.352644184,5,2
265,20,piper89 6-4-89,3,4.573333333,5,4.731334482,5,2
266,12,piper89 6-4-89,3,4.35,5,4.497488037,5,2
267,12,piper89 6-4-89,3,4.403333333,5,4.3738498869999995,5,2
268,12,piper89 6-4-89,3,3.9533333330000002,5,3.971235156,5,2
