,groupId,files,timeRun,nous,vous,je,ils,il,elle,le,groupName,rank,rfPred,svmPred
75,DorothyDay_test13,10,3.61958813667,0.0195349641283,0.00475408419051,0.0153427262512,0.0108047367966,0.0110640504797,0.00855735154292,0.0112801452157,DorothyDay,4,4.10262987013,4.11143537833
76,DorothyDay_test3,10,3.93573904037,0.0206538461538,0.00434615384615,0.0168846153846,0.00930769230769,0.0178846153846,0.00288461538462,0.0113846153846,DorothyDay,4,4.25157467532,4.02113874481
88,DorothyDay_test23,10,3.99475502968,0.0215041442267,0.00194797754096,0.0101218440854,0.0102746266376,0.0143615599099,0.00336121614912,0.0123371910928,DorothyDay,4,4.36917179826,4.07154505167
89,DorothyDay_test16,10,3.51777005196,0.0168571554653,0.00344203697983,0.01601871056,0.0110321698072,0.0145183354662,0.0108556550902,0.0101937249018,DorothyDay,4,4.42978056426,4.05495252098
90,DorothyDay_test6,10,2.94568705559,0.0238426283537,0.00437715639322,0.0148308357794,0.00932076831969,0.0201864153664,0.00669447448375,0.0100932076832,DorothyDay,4,4.22625968941,4.0288617364
91,DorothyDay_test11,10,3.17396092415,0.021029276998,0.00308686634833,0.0159648868953,0.0121545362466,0.0114792842329,0.00472676409589,0.00945352819177,DorothyDay,4,5.27619047619,4.13688563207
92,DorothyDay_test1,10,2.27649593353,0.0185446482564,0.00329234697306,0.019955654102,0.00725660149163,0.0129678156286,0.00980985016462,0.0136397231741,DorothyDay,4,4.08189655172,3.97846447173
93,DorothyDay_test18,10,3.70162987709,0.0230528569076,0.00489873209287,0.0168779845217,0.0110736044788,0.0135435534332,0.00613370657006,0.0113617651902,DorothyDay,4,4.11623015873,3.99725217604
104,DorothyDay_test21,10,2.61959290504,0.0123184955963,0.00238038562247,0.0263032611283,0.012497024518,0.00654606046179,0.00559390621281,0.00898595572483,DorothyDay,4,4.6,3.54545108878
105,DorothyDay_test14,10,2.20282697678,0.0222331322766,0.00161312947117,0.0101697292748,0.011712722682,0.0110113620424,0.00490952447749,0.00988918501894,DorothyDay,4,4.17504658385,4.07182847626
106,DorothyDay_test4,10,3.73062896729,0.0232786081843,0.00367556971331,0.0147022788532,0.00869884832149,0.0125786163522,0.00355305072286,0.0123744180348,DorothyDay,4,4.56465254655,4.0616839754
116,DorothyDay_test12,10,2.29061794281,0.0154573922313,0.00273169431674,0.0201878872676,0.0115930441735,0.0295822506496,0.00579652208675,0.0087947231661,DorothyDay,4,4.02068965517,3.98481625379
117,DorothyDay_test2,10,4.07612800598,0.0178378579675,0.0016013108405,0.0142255986296,0.00957062525602,0.0125870480021,0.00670316165792,0.00837895207239,DorothyDay,4,4.15283251232,4.04253095526
126,DorothyDay_test9,10,4.07989215851,0.0144781144781,0.00209502431725,0.0236812570146,0.0113355780022,0.0124579124579,0.00650953984287,0.00879161990273,DorothyDay,4,4.02068965517,4.14089676358
127,DorothyDay_test10,10,3.67129921913,0.0265134226796,0.00398323721007,0.00879631550558,0.013899838181,0.0181320277167,0.00298742790756,0.0127380606614,DorothyDay,4,4.0,4.11265005331
128,DorothyDay_test0,10,3.00295591354,0.0191824846841,0.00386662649392,0.0103444812695,0.0115998794818,0.0114994476248,0.00778346891634,0.0114492316963,DorothyDay,4,4.65035714286,4.12638347577
131,DorothyDay_test22,10,2.03181290627,0.0213416909186,0.00126856204761,0.00761137228565,0.0117901649131,0.0152227445713,0.00291023057981,0.0086560704425,DorothyDay,4,4.57535714286,4.12685591626
132,DorothyDay_test17,10,2.38267803192,0.0232927138868,0.00158669713125,0.00691799949226,0.0109799441483,0.0170728611323,0.002284843869,0.010408733181,DorothyDay,4,4.10194444444,3.97869083599
133,DorothyDay_test7,10,3.75573706627,0.0209208467177,0.00403591137468,0.0177497734948,0.00963676797628,0.0133020344288,0.0107898855119,0.0103780578206,DorothyDay,4,4.25157467532,4.04530115168
136,DorothyDay_test19,10,2.42582583427,0.0233132720938,0.00266075388027,0.0123535001584,0.00924928729807,0.00962939499525,0.00937598986379,0.0107063668039,DorothyDay,4,4.22625968941,4.02783530846
142,DorothyDay_test20,10,2.48548388481,0.0235667623176,0.00225899017034,0.0122718114659,0.010867574333,0.011661273582,0.00818120764393,0.0109896819098,DorothyDay,4,4.10194444444,3.96005077905
143,DorothyDay_test15,10,2.31247496605,0.0316218526067,0.00387877194136,0.0110446387483,0.00946683321281,0.0191308921175,0.0041417395306,0.0121622510026,DorothyDay,4,5.22857142857,5.80795860959
144,DorothyDay_test5,10,3.49126005173,0.0204730583264,0.00200374613408,0.0137648647471,0.0135470662543,0.0168576033454,0.00453020865096,0.0115868798188,DorothyDay,4,5.23333333333,4.01134390428
152,Unitarian_test6,10,6.15467500687,0.0235275028395,0.00973551841636,0.0222564768241,0.00854562172102,0.0106008978311,0.00194710368327,0.0111417599654,Unitarian,7,4.62465254655,4.08707348148
155,Unitarian_test3,10,5.93516898155,0.0161566242159,0.00887935482119,0.0325304803541,0.00879789285035,0.00801042713227,0.00866212289896,0.0102642083254,Unitarian,7,5.35283251232,4.38817989623
