,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,rank
142,Shepherd,0.0390017852885,0.0196546705348,1.0,0.0,0.0185785510533,154.2,0.615373786231,0.0237046681729,0.0188411902118,0.021828208172200003,0.007735610615399999,0.028300080419700002,0.00425075632827,0.0121012522498,0.770963412494,0.664080278205,4
143,Shepherd,0.0314923581314,0.023138701455599996,0.7,0.3,0.03032887543,171.1,0.629874888631,0.0239375542064,0.018386816999099997,0.029071986123200003,0.010130095403299998,0.0264353859497,0.004995663486560001,0.010407632263700001,0.732605617771,0.5858587939500001,4
144,Shepherd,0.0337500870653,0.0222976240815,0.8,0.2,0.0198245149973,177.9,0.553067490061,0.0217881530888,0.0150865491504,0.022645704303599995,0.00917897411466,0.024265523265,0.00412895029379,0.012323328569200001,0.746118393097,0.6293039470390001,4
145,Shepherd,0.0297873993931,0.0220355524565,0.7,0.3,0.0191447981088,166.9,0.591588114089,0.0224309000709,0.017859673990099998,0.0229270021262,0.00917788802268,0.024060949681099997,0.00439404677534,0.011693834160200001,0.7588711158339999,0.64760869939,4
146,Shepherd,0.0332754517758,0.024924548232400003,0.8,0.2,0.0440357793322,140.8,0.6947659526729999,0.0242286650043,0.018050541516200003,0.024600841118,0.0079273512226,0.027578250027900004,0.00465220142171,0.012914511146700001,0.6987249169699999,0.60732497939,4
147,Shepherd,0.034773817544999995,0.0232644327611,0.8,0.2,0.017659301804,143.2,0.6006400801489999,0.0188034188034,0.0185432924563,0.0209587513935,0.00876997398737,0.0229654403567,0.00605722779636,0.0133407655147,0.672869004463,0.430840113434,4
148,Shepherd,0.0328928704096,0.0234131550873,0.7,0.3,0.0127221462491,161.2,0.5538365487529999,0.0189019857704,0.014512760610200001,0.0208488195108,0.00888464125164,0.0224770804573,0.007256380305119999,0.0137694240912,0.7242170806489999,0.7918851172470001,4
149,Shepherd,0.034915155655900004,0.0226989746557,0.7,0.3,0.0173119285265,172.7,0.551066314806,0.022403600698599997,0.016962246406,0.0194813919119,0.00930404406825,0.021194410855799997,0.0041985758430700005,0.012662904742700001,0.728674072664,0.597313412719,4
150,Shepherd,0.0326260818181,0.030130660454700003,0.6,0.4,0.020993380772199997,158.9,0.592563259339,0.019842519685,0.017532808399,0.024671916010500002,0.00969378827647,0.0239020122485,0.0025546806649200003,0.011583552056,0.743322579814,0.614766393806,4
151,Shepherd,0.0387349052217,0.0190857904909,1.0,0.0,0.014402596285200001,140.8,0.614763090137,0.024655278864000003,0.0161350072031,0.024408314468,0.009755093640669999,0.021732866845,0.00456884132538,0.0118131302737,0.7482064758399999,0.728362233381,4
152,Shepherd,0.030978844626000004,0.024060513218999997,0.7,0.3,0.0207401115898,171.6,0.621626929187,0.0236503132259,0.0155205180545,0.0244949672697,0.009150418807629998,0.0262898571127,0.00485676075174,0.011754768776000001,0.75224594357,0.7146048595100001,4
153,Shepherd,0.0331509460915,0.026972555558500002,0.6,0.4,0.0167081084635,168.9,0.582245283888,0.0230472854641,0.0189492119089,0.0237127845884,0.00826619964974,0.0228371278459,0.007285464098069999,0.010998248686500001,0.7439592562909999,0.51468609251,4
154,Shepherd,0.038480936079,0.023261729040099998,0.9,0.1,0.027168278056,153.4,0.608924592077,0.0211189739054,0.0138581748489,0.0231092436975,0.011536193424700001,0.0224089635854,0.00497567448032,0.011351909184700002,0.679125228264,0.609413371284,4
155,Shepherd,0.0322242956989,0.017504264487099998,0.9,0.1,0.01893696945,171.2,0.6218964488350001,0.0207181840303,0.017798171516,0.029791080057,0.00952480272535,0.0221434282337,0.0040671602878300005,0.011680050057399999,0.777504760728,0.715219217313,4
156,Shepherd,0.0303527008692,0.0226503383365,0.7,0.3,0.0195933871332,165.4,0.557290361505,0.0230019079924,0.0159352695923,0.0230019079924,0.009963960144159999,0.0271712246484,0.00363931877606,0.011801286128200002,0.741037151382,0.446611924229,4
157,Shepherd,0.0306271337218,0.021883258145499997,0.7,0.3,0.0233328250225,184.7,0.6082966965150001,0.0208710846492,0.0183147812581,0.025433600828400002,0.00902795754595,0.0248511519544,0.0044654413668100005,0.0117784105617,0.7656487443009999,0.708103047183,4
158,Shepherd,0.0351625109935,0.0241773633857,0.8,0.2,0.0218892073954,169.8,0.654049912955,0.0287516104971,0.018003661761700002,0.022275717094999998,0.00969688750254,0.0231572523225,0.00501796975656,0.012883976402,0.73486651358,0.7253642440620001,4
159,Shepherd,0.0364291713075,0.0260589628697,0.8,0.2,0.0329063152792,153.6,0.634762180001,0.025574642269900003,0.0127698282196,0.021446314242700003,0.010040933422,0.028338522898200002,0.00619249204072,0.011615295805200002,0.739852355548,0.7269120809849999,4
160,Shepherd,0.035344798823099995,0.0218185787971,0.8,0.2,0.0233718353813,172.4,0.564768620494,0.022201884618,0.0170835875534,0.018812283913,0.010643346213799998,0.0238288929564,0.00379635278964,0.010982306284299997,0.692373191578,0.7197651435529999,4
161,Shepherd,0.0326559045942,0.023489860705900003,0.8,0.2,0.023712641894299998,168.1,0.580563281552,0.0178205218867,0.0171487164981,0.022770666855200003,0.0118803479245,0.032564882257300004,0.006223039389010001,0.010748886217399998,0.9041617366329999,0.7482851049979999,4
162,Shepherd,0.0360609010255,0.0266980403865,0.5,0.5,0.0204636902974,170.7,0.5990592561079999,0.024197396223800002,0.014518437734299998,0.024265557903299997,0.009610796810030001,0.021164201485900005,0.00691841046963,0.0125758298684,0.707848927923,0.6597726281040001,4
163,Shepherd,0.0314666633882,0.023924712684800002,0.8,0.2,0.0349449027491,153.1,0.6760812261910001,0.025645709275599997,0.0162203631316,0.028787491323599996,0.00836590801154,0.0206407774084,0.00471267307201,0.013991889818400001,0.7271560224070001,0.595915710189,4
164,Shepherd,0.0388323885341,0.018015055734,1.0,0.0,0.0246876793603,192.4,0.595984395798,0.0226320201174,0.0175382036237,0.0285962989232,0.00815655425882,0.023824875878499997,0.0053517312528199995,0.0118963182668,0.806022546154,0.512310230237,4
165,Shepherd,0.031720430500300004,0.0251393465363,0.6,0.4,0.0165809355653,158.3,0.582452364918,0.0190656432902,0.0143693267445,0.0233063470368,0.00960291592191,0.024988609680000003,0.00339957242491,0.01118003715,0.7482811915459999,0.697369901621,4
166,DorothyDay,0.0247821421674,0.0222285238642,0.7,0.3,0.057086393947800004,75.6,0.725332863353,0.019219512195099996,0.00248780487805,0.0157073170732,0.0104390243902,0.0199512195122,0.00507317073171,0.008829268292680001,0.7291839037710001,0.7439789338689999,4
167,DorothyDay,0.0253138694373,0.024732841533,0.4,0.6,0.0381137878864,87.7,0.736864495967,0.0196145028445,0.00348136197673,0.020930627494299997,0.0102318077609,0.0149868387535,0.007217457756640001,0.010826186635,0.764449399416,0.569911875257,4
168,DorothyDay,0.0320169930987,0.027036679578900002,0.9,0.1,0.0423418789664,73.0,0.6894843208920001,0.015156717516100001,0.00804434198264,0.0202580075538,0.0110364447933,0.0126551233629,0.00858390150586,0.0112326482562,0.776892840708,0.7309799452069999,4
169,DorothyDay,0.030916302513,0.0255932624896,0.7,0.3,0.032928791609799994,68.6,0.7368341436489999,0.024516129032299997,0.00193548387097,0.0127419354839,0.013064516129,0.018924731182799998,0.00182795698925,0.012365591397799998,0.8667957630679999,0.776916616757,4
