PSJudge,avgEVC,avgSD,binCount,binSize,cocoWindow,cvWindow,elle,il,ils,je,judgementMethod,keywordMethod,le,netAngle,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounCount,pronounFrac,rfAccuracy,rfClassAccuracy,rfClassExact,rfClassMAE,rfMAE,runID,svmAccuracy,svmClassAccuracy,svmClassExact,svmClassMAE,svmMAE,targetWordCount,toBeCount,toBeFrac,vous
,0.0953899389915,0.12302095006,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.334530279384,0.0515047037912,0.176762908734,0.0386541113597,,0.180137107681,0.612612612613,,,,1.06474620058,7TRPOG,0.63963963964,,,,0.961130196621,10.0,,,
,0.10720501074,0.137578458553,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.206964206191,0.0728715571604,0.162439526711,0.0878225263517,,0.225118714293,0.612612612613,,,,1.01158074195,WCBD7L,0.747747747748,,,,0.883457943501,20.0,,,
,0.104373593952,0.142793710445,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.311987728565,0.0378424383947,0.205162140269,0.0173504510986,,0.180489937274,0.621621621622,,,,0.993365670909,4A6CU8,0.702702702703,,,,0.881381680573,30.0,,,
,0.0975972646468,0.175164672617,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.262321241729,0.0176331466372,0.165251000818,0.0181038801734,,0.263928793379,0.603603603604,,,,0.973830311472,Z9QS7P,0.630630630631,,,,0.969746693029,15.0,,,
,0.140860619314,0.268002924412,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.263903515123,0.00659583799781,0.0989294700955,0.0403655402646,,0.181342092793,0.630630630631,,,,1.00828938884,17NBSU,0.711711711712,,,,0.908804143967,20.0,,,
,0.174038105169,0.134817880146,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.197624499888,0.0786233910532,0.159240027091,0.0641159332603,,0.191540163393,0.648648648649,,,,0.930792078501,FG0TOY,0.720720720721,,,,0.867437364641,30.0,,,
,0.0970420964384,0.145241203808,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.339820885757,0.00866953729272,0.216283663802,0.0444706119286,,0.148472000973,0.63963963964,,,,0.950874017079,S9M2IN,0.738738738739,,,,0.866244216562,15.0,,,
,0.00679001570257,0.0034221887058,355,10,3.0,3.0,0.00338382479083,0.16040162827,0.42453821625,0.00429348181609,pronounFrac,tfidfNoPro,0.0223104879769,30.0,0.233272698353,0.0291337156074,0.000811257376675,0.00857804822425,0.00795599947954,,0.00822997530476,0.918918918919,,,,0.353153153153,0U5QG4,0.927927927928,,,,0.401399608214,15.0,,,0.0868784621422
,0.00808617602808,0.00442669500193,355,10,3.0,3.0,0.00480217317094,0.152042018687,0.420589913354,0.0165969141023,pronounFrac,tfidfNoPro,0.0297213315983,30.0,0.2108018782,0.0280126984801,0.00905495317536,0.0141635168433,0.0017396079716,,0.0316222908694,0.864864864865,,,,0.377477477477,0NLGB6,0.90990990991,,,,0.419415174221,20.0,,,0.0683398325173
,0.00453861570567,0.00188926123257,355,10,3.0,3.0,0.00529224679603,0.140441744745,0.438899274401,0.0189987477161,pronounFrac,tfidfNoPro,0.0266500860752,30.0,0.202415550063,0.0306622022467,0.00900652510286,0.0106739874814,0.0113745157093,,0.0465602502685,0.882882882883,,,,0.394594594595,29ECGW,0.891891891892,,,,0.42293178441,30.0,,,0.0525969924576
,0.00105675233245,0.0201840197369,355,10,3.0,3.0,0.00827593590101,0.139750733995,0.399253234316,0.0125133444401,pronounFrac,tfidf,0.0655527627391,30.0,0.184930056675,0.0704283079217,0.00206498225768,0.00784882304883,0.000564197179978,,0.02578024817,0.900900900901,,,,0.399582190887,RPUCLR,0.90990990991,,,,0.450636369552,15.0,,,0.0617966012864
,0.0216783641866,7.99297666313e-05,355,10,3.0,3.0,0.0185525222091,0.147718506103,0.461386234485,0.0141923923072,pronounFrac,tfidf,0.0254387571042,30.0,0.208859122261,0.0160676945307,0.00575675639606,0.00888399337795,0.000303048650797,,0.0246187593538,0.882882882883,,,,0.297297297297,CE5NDC,0.918918918919,,,,0.364312207762,20.0,,,0.0464639192694
