,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
138,ACLU02,0.026359143327799997,0.00164744645799,1.0,0.0,0.625,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.019769357495900003,0.431630971993,-0.664172932619,0.6929653196960001,3,ACLU
139,AEU005,0.0338983050847,0.028248587570599996,1.0,0.0,0.5,13.0,0.8125,0.0423728813559,0.00847457627119,0.028248587570599996,0.00282485875706,0.00282485875706,0.0,0.00282485875706,0.525423728814,-0.44601471827600003,0.36329147334600004,8,AEU
140,DorothyDay497,0.0180921052632,0.0180921052632,0.0,1.0,0.176470588235,27.0,0.794117647059,0.009868421052629998,0.0,0.00328947368421,0.009868421052629998,0.07401315789469999,0.0180921052632,0.00657894736842,0.427631578947,-0.631505140671,0.584592810806,4,DorothyDay
141,ACLU10,0.0136518771331,0.0358361774744,0.0,1.0,0.195652173913,22.0,0.478260869565,0.00511945392491,0.0,0.0,0.00682593856655,0.0034129692832800002,0.0017064846416400001,0.018771331058,0.389931740614,-0.658750521211,0.602800668249,3,ACLU
142,DorothyDay399,0.0338294993234,0.021650879567,1.0,0.0,0.257142857143,30.0,0.8571428571430001,0.018944519621099998,0.0,0.00811907983762,0.014884979702299999,0.021650879567,0.00270635994587,0.00811907983762,0.427604871448,-0.44547512025799996,0.555489871122,3,DorothyDay
143,LiberalJudaism138,0.015141540487200001,0.011849901250799998,1.0,0.0,0.32394366197200003,58.0,0.816901408451,0.0513495720869,0.0039499670836099995,0.0039499670836099995,0.00987491770902,0.00987491770902,0.0,0.015141540487200001,0.318630678078,0.060849592827599996,0.693394308975,3,LiberalJudaism
144,MehrBaba074,0.026579111945,0.0234521575985,1.0,0.0,0.222222222222,84.0,0.583333333333,0.0,0.000625390869293,0.00156347717323,0.010631644778,0.0100062539087,0.0,0.025015634771699997,0.245153220763,0.756729628998,0.659460700297,4,MehrBaba
145,JohnPiper250,0.022323462414599995,0.0464692482916,0.0,1.0,0.1,68.0,0.523076923077,0.009111617312069999,0.00455580865604,0.0132118451025,0.00956719817768,0.0173120728929,0.0,0.0123006833713,0.27243735763099997,0.248308866968,0.607929669759,5,JohnPiper
146,Rabbinic038,0.0195103289977,0.0195103289977,0.0,1.0,0.0649350649351,200.0,0.519480519481,0.00573833205815,0.0013389441469,0.015110941086500001,0.0118592195868,0.0355776587605,0.0036342769701599997,0.0153022188217,0.201606732976,0.709734689814,0.6644434763600001,4,Rabbinic
147,MalcolmX006,0.018456670768099998,0.012304447178799999,1.0,0.0,0.105263157895,258.0,0.7987616099070001,0.00457022323783,0.035507119001599995,0.0344524521005,0.010546669010399998,0.009316224292489999,0.00123044471788,0.013183336262999999,0.175953594656,0.778009209681,0.5879652104199999,2,MalcolmX
148,YV25,0.020100502512599996,0.005025125628140001,1.0,0.0,0.470588235294,9.0,0.529411764706,0.0,0.030150753768799998,0.035175879397,0.025125628140699997,0.0,0.0,0.015075376884399999,0.502512562814,0.211952724892,0.605417204789,3,YV
149,ACLU08,0.0102774922919,0.0195272353546,0.0,1.0,0.18918918918900002,13.0,0.351351351351,0.0030832476875599997,0.0,0.00102774922919,0.0123329907503,0.0030832476875599997,0.0,0.00411099691675,0.416238437821,-0.662462891029,0.789867828838,3,ACLU
150,WBC423,0.0567458988952,0.016069635085400002,1.0,0.0,0.129963898917,230.0,0.830324909747,0.0426849681955,0.0085369936391,0.007532641446270001,0.0110478741212,0.0187479075996,0.000334784064279,0.0199196518246,0.174757281553,0.790253434877,0.662331186283,1,WBC
151,WBC265,0.0214947089947,0.0165343915344,1.0,0.0,0.06962025316460001,97.0,0.613924050633,0.0016534391534400001,0.000992063492063,0.0052910052910100005,0.0185185185185,0.0214947089947,0.006283068783069999,0.0082671957672,0.30753968254,-0.239971568891,0.62367936187,1,WBC
152,LiberalJudaism120,0.0212139068945,0.0235710076606,0.0,1.0,0.139240506329,51.0,0.645569620253,0.013553329404799998,0.0023571007660599997,0.0164997053624,0.00353565114909,0.014142604596299999,0.0023571007660599997,0.014142604596299999,0.378314672952,0.483433059182,0.488663092174,4,LiberalJudaism
153,LiberalJudaism153,0.0241758241758,0.0164835164835,1.0,0.0,0.33333333333299997,50.0,0.694444444444,0.0142857142857,0.00384615384615,0.005494505494510001,0.0115384615385,0.0120879120879,0.0010989010989000002,0.0120879120879,0.358791208791,0.7563497311030001,0.631445112703,3,LiberalJudaism
154,Rabbinic031,0.0113068630029,0.019195372074700002,0.0,1.0,0.0825396825397,125.0,0.39682539682499995,0.00157770181436,0.0028924533263200002,0.0068367078622100005,0.021824875098599997,0.014725216934,0.00105180120957,0.0226137260058,0.23797002366599998,0.809697504544,0.492734256901,4,Rabbinic
