,Unnamed: 0,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
36,165,Shepherd_test14,10,19.4209020138,0.101984154352,0.0568618394204,1.0,0.0,14.6,0.0580150932154,0.543624350114,0.57664963755,Shepherd,4,4.0,3.87224382229
37,167,Shepherd_test05,10,21.9195230007,0.0950892187339,0.0628891728873,0.9,0.1,19.4,0.0658887729195,0.458813360404,0.602942535377,Shepherd,4,4.0,3.93425698954
43,202,Shepherd_test13,10,21.1525230408,0.101038560388,0.0471408978773,1.0,0.0,18.2,0.0736506932222,0.557882653728,0.532742555635,Shepherd,4,4.0,4.2013771631
47,216,Shepherd_test07,10,22.0901010036,0.101553788509,0.0595346307764,1.0,0.0,19.0,0.0748193559778,0.551100749211,0.45582353407,Shepherd,4,4.0,4.41481374609
49,236,Shepherd_test21,9,19.9650511742,0.102208795697,0.0545197558468,1.0,0.0,17.2222222222,0.060537970093,0.523554298267,0.576820911545,Shepherd,4,4.0,4.07490207417
54,253,Shepherd_test11,10,24.6323008537,0.0992170409228,0.0589210486497,1.0,0.0,20.1,0.0628157350001,0.516426397161,0.502153570608,Shepherd,4,4.0,4.23771826705
55,255,Shepherd_test00,10,21.8718309402,0.100795798001,0.0573246169442,1.0,0.0,19.0,0.0797683628543,0.484547588672,0.400824789466,Shepherd,4,4.0,4.12347208303
58,270,Shepherd_test18,10,19.7769329548,0.104402217354,0.0474064827984,0.9,0.1,16.1,0.0595791079112,0.483912348981,0.52602131712,Shepherd,4,4.0,4.02292937402
59,271,Shepherd_test09,10,21.0317480564,0.109476765466,0.0480608164476,1.0,0.0,13.9,0.0491384160926,0.507872658972,0.609086277347,Shepherd,4,4.3,3.86328827251
65,310,Shepherd_test17,10,20.3062360287,0.0970573195645,0.0619153707363,1.0,0.0,19.6,0.082025035584,0.533381529305,0.451078627609,Shepherd,4,4.3,4.27816725311
66,313,Shepherd_test02,10,19.8907048702,0.0991451564677,0.0587655147332,1.0,0.0,16.5,0.0689682633244,0.501212874078,0.513526050604,Shepherd,4,4.0,3.95743954602
72,354,Shepherd_test12,10,18.3370890617,0.0906368671081,0.0606686754415,0.9,0.1,13.6,0.0550486400345,0.516286179349,0.40207415259,Shepherd,4,4.6,3.86012459945
75,34,Unitarian_test06,10,28.2379150391,0.10375398816,0.0540430183328,1.0,0.0,29.2,0.120782054115,0.555804400266,0.485718965458,Unitarian,7,7.0,5.94346404061
80,95,Unitarian_test04,10,30.7321109772,0.102090067486,0.0513047325658,1.0,0.0,25.4,0.100751890135,0.547982606225,0.335173578088,Unitarian,7,7.0,5.13555448563
83,144,Unitarian_test03,10,27.5457489491,0.0961052411304,0.0483331741456,1.0,0.0,25.2,0.130031713695,0.603011023025,0.610317461327,Unitarian,7,6.7,4.36122205425
86,189,Unitarian_test01,10,26.1180751324,0.0941453724187,0.0571279320568,0.9,0.1,21.3,0.0952168928262,0.597704374086,0.600226213382,Unitarian,7,4.0,3.9155351386
92,240,Unitarian_test07,10,27.4341368675,0.102997754573,0.040766434352,1.0,0.0,25.3,0.107597570468,0.615743205473,0.64380601673,Unitarian,7,7.0,4.36456610591
96,286,Unitarian_test02,10,29.6355581284,0.104847291198,0.0416466802441,1.0,0.0,22.6,0.0845709858091,0.570156387083,0.43075755473,Unitarian,7,6.7,4.90357271115
97,299,Unitarian_test05,10,22.2724378109,0.107102042835,0.0452320728674,1.0,0.0,20.8,0.105930522203,0.594994342723,0.628179236388,Unitarian,7,4.9,4.35620183753
100,340,Unitarian_test00,10,29.2230370045,0.107938662511,0.0440487333929,1.0,0.0,27.5,0.110478657709,0.643048090123,0.653393268542,Unitarian,7,6.1,4.50105464541
102,4,MehrBaba_test01,10,15.2538118362,0.109412549924,0.0500354060445,1.0,0.0,16.7,0.164514576169,0.541694074821,0.561151630853,MehrBaba,8,5.2,5.76867217941
105,42,MehrBaba_test04,10,17.0667290688,0.108963348053,0.0526649978997,1.0,0.0,18.4,0.194739438265,0.654284250415,0.567709987563,MehrBaba,8,5.6,6.86419026505
108,103,MehrBaba_test02,10,13.074805975,0.109105955819,0.0513562643371,0.9,0.1,20.5,0.247859144949,0.703782434101,0.593010610165,MehrBaba,8,8.0,7.70386515642
114,160,MehrBaba_test00,10,10.1415441036,0.122738956747,0.0487176234224,1.0,0.0,16.5,0.258125658172,0.67211180159,0.599575800182,MehrBaba,8,8.0,8.61590225816
116,197,MehrBaba_test07,10,11.7548298836,0.115872210492,0.0394502491961,1.0,0.0,18.1,0.263268320734,0.709523952027,0.44118707606,MehrBaba,8,8.0,7.12929828358
120,247,MehrBaba_test05,10,14.5577199459,0.109736662204,0.0446606902105,1.0,0.0,23.9,0.297579671835,0.651274903366,0.503924283277,MehrBaba,8,8.0,7.92918906142
123,305,MehrBaba_test03,10,11.483520031,0.11459151174,0.0521979960434,1.0,0.0,17.3,0.251702292272,0.706569516427,0.637704873959,MehrBaba,8,8.0,8.71880839666
126,349,MehrBaba_test06,10,16.8518660069,0.119775357663,0.0485303343973,1.0,0.0,21.4,0.236231914079,0.606566239118,0.553278968779,MehrBaba,8,8.0,8.45206444893
131,10,JohnPiper_test02,10,19.1388559341,0.0934927053786,0.0610478928914,0.9,0.1,22.0,0.146053451164,0.567146814375,0.55555444139,JohnPiper,4,4.9,3.69929548478
133,18,JohnPiper_test15,10,18.8773829937,0.106615107298,0.0497224043357,0.9,0.1,19.3,0.122035508337,0.582176399018,0.670836754913,JohnPiper,4,4.0,4.49028724842
137,49,JohnPiper_test05,10,17.8249349594,0.106972318453,0.0595273875069,0.9,0.1,21.3,0.138632429643,0.710769030951,0.607145839612,JohnPiper,4,4.6,4.68550650261
140,76,JohnPiper_test13,10,16.8562309742,0.100382494229,0.0511060254244,1.0,0.0,17.5,0.11370661401,0.60627837062,0.602623069933,JohnPiper,4,4.0,3.88473560304
142,91,JohnPiper_test08,10,18.4613161087,0.102092872899,0.0531142078382,1.0,0.0,19.9,0.124009565371,0.592012389304,0.645590794957,JohnPiper,4,4.0,4.18161286568
146,115,JohnPiper_test07,10,17.3824148178,0.104574446354,0.0491361559848,1.0,0.0,19.5,0.124301863225,0.641494641939,0.775388187474,JohnPiper,4,4.9,4.19324951542
153,140,JohnPiper_test11,10,15.9120309353,0.102078313931,0.0450327309667,1.0,0.0,18.8,0.129753126645,0.58778256852,0.66893273048,JohnPiper,4,4.0,4.24979641801
156,168,JohnPiper_test01,10,16.6537899971,0.0987073674817,0.0514960349089,0.9,0.1,20.8,0.158347156749,0.625637457943,0.642153175309,JohnPiper,4,4.0,4.26358543635
158,177,JohnPiper_test16,10,19.0828781128,0.0940736845388,0.0470777831528,1.0,0.0,19.9,0.118246340014,0.59078017458,0.614376248562,JohnPiper,4,4.0,4.06509334141
160,204,JohnPiper_test04,10,15.9719090462,0.104274596006,0.0553574032818,0.8,0.2,18.0,0.133990180952,0.619650016047,0.666064012688,JohnPiper,4,3.4,3.95919420154
163,217,JohnPiper_test03,10,18.5433938503,0.099746700115,0.0445469759082,1.0,0.0,19.7,0.121318918521,0.585128183739,0.545434222878,JohnPiper,4,4.3,4.43128891835
166,225,JohnPiper_test14,10,19.1057939529,0.100764506485,0.0429957750324,0.9,0.1,19.9,0.117049806124,0.619956661801,0.597420669418,JohnPiper,4,4.0,4.14080299922
171,256,JohnPiper_test06,10,18.7701721191,0.0967125338223,0.0565242466784,0.9,0.1,17.6,0.114850968298,0.550568102108,0.473689233418,JohnPiper,4,4.0,4.10471840418
175,281,JohnPiper_test12,10,17.1652338505,0.0919696795263,0.05169990835,1.0,0.0,21.5,0.152125407506,0.596585622365,0.549546426424,JohnPiper,4,4.0,4.1601957561
176,296,JohnPiper_test09,10,16.8348691463,0.104335259578,0.0516653792994,0.9,0.1,18.7,0.126691588652,0.66396299309,0.455430471454,JohnPiper,4,4.0,4.59201001165
179,314,JohnPiper_test00,10,18.0605270863,0.0986247160815,0.0464823789499,1.0,0.0,17.0,0.117645520948,0.598854728203,0.501533810071,JohnPiper,4,4.0,4.15172746887
186,336,JohnPiper_test10,10,18.5112910271,0.102353190454,0.0610607918883,0.8,0.2,22.2,0.142128820972,0.590517900263,0.414953790398,JohnPiper,4,4.3,4.10756768032
188,11,DorothyDay_test02,10,11.6675310135,0.0902126969714,0.0374504464518,1.0,0.0,10.5,0.15475261126,0.663276262175,0.668617447863,DorothyDay,4,4.0,3.90181955965
189,12,DorothyDay_test13,10,11.2798810005,0.0917613965763,0.0413384966187,1.0,0.0,11.1,0.148116559954,0.613594302794,0.639091202985,DorothyDay,4,4.0,3.81197874558
199,52,DorothyDay_test07,10,13.88667202,0.085439391023,0.0333887999479,1.0,0.0,15.2,0.172241864308,0.623756192743,0.64242138889,DorothyDay,4,4.0,3.90905611322
200,54,DorothyDay_test16,10,12.4192779064,0.0909768798,0.0410359133849,1.0,0.0,11.6,0.133264746809,0.654418603444,0.778437999257,DorothyDay,4,4.0,3.79805639999
201,65,DorothyDay_test11,10,14.9252269268,0.090280313714,0.0318692164449,1.0,0.0,16.7,0.183520125353,0.621968078528,0.530928487983,DorothyDay,4,4.0,3.90202873847
202,78,DorothyDay_test18,10,13.3491420746,0.0858850797384,0.0290669157264,1.0,0.0,15.3,0.171647263422,0.665344308233,0.563763079438,DorothyDay,4,4.0,3.80985968268
212,116,DorothyDay_test21,10,20.1714680195,0.0859108588806,0.0339847326258,1.0,0.0,22.6,0.200972302515,0.634580379004,0.540395168152,DorothyDay,4,3.8,3.79061358606
213,117,DorothyDay_test01,10,18.0479540825,0.0881315999121,0.0366018245255,1.0,0.0,21.6,0.208794926043,0.680454330081,0.604240737863,DorothyDay,4,4.2,4.09435094941
214,119,DorothyDay_test14,10,15.7046961784,0.0850881196189,0.038782696331,1.0,0.0,18.8,0.187040778432,0.678434705742,0.463511780711,DorothyDay,4,4.0,3.96090974753
224,169,DorothyDay_test03,10,18.3238182068,0.0866991934031,0.0369068125985,1.0,0.0,21.8,0.173530064623,0.636568090294,0.444525577892,DorothyDay,4,3.9,3.67815319549
225,170,DorothyDay_test12,10,15.4143519402,0.0858088639589,0.0288970637455,1.0,0.0,18.5,0.179047441795,0.65458634107,0.54015939123,DorothyDay,4,4.0,3.65967839936
227,178,DorothyDay_test08,10,23.5493381023,0.084924203634,0.0375740605176,1.0,0.0,26.2,0.187717993681,0.662089934236,0.595961503168,DorothyDay,4,4.0,3.74460346491
235,206,DorothyDay_test04,10,11.2390751839,0.0799568069587,0.0438281157116,1.0,0.0,11.6,0.16064494493,0.579351655788,0.61603985921,DorothyDay,4,4.0,3.96273268834
236,218,DorothyDay_test10,10,13.7968621254,0.092188274172,0.0354499225611,1.0,0.0,14.6,0.144220639436,0.66903355005,0.731444891392,DorothyDay,4,4.0,3.83027088922
241,258,DorothyDay_test22,10,15.0684559345,0.101011856798,0.0415799504616,1.0,0.0,17.4,0.158910990211,0.629228113414,0.605067099213,DorothyDay,4,4.0,4.57343558031
242,259,DorothyDay_test06,10,18.2371759415,0.0859627183362,0.034893343026,1.0,0.0,19.2,0.150945334157,0.640060538515,0.512625072908,DorothyDay,4,4.0,3.74386798912
244,262,DorothyDay_test17,10,14.411247015,0.0837529815415,0.0334367327597,1.0,0.0,13.9,0.147828711828,0.67229205929,0.386189499926,DorothyDay,4,4.3,4.03573299089
247,282,DorothyDay_test19,10,17.3209240437,0.0892267567335,0.0432045502058,0.9,0.1,18.7,0.175868780314,0.605188519656,0.687741096309,DorothyDay,4,4.0,4.16385746626
256,315,DorothyDay_test20,10,8.18214917183,0.0953681113637,0.0344822553889,1.0,0.0,10.7,0.189086204651,0.648504488915,0.548757454217,DorothyDay,4,4.0,4.34120768787
257,316,DorothyDay_test00,10,14.4545137882,0.0903666061395,0.0333927715832,1.0,0.0,17.0,0.182329198273,0.633512961539,0.508694448286,DorothyDay,4,4.0,3.90923710594
258,318,DorothyDay_test15,10,16.2947499752,0.0832061905682,0.0371222921687,1.0,0.0,16.5,0.151160248166,0.680900405289,0.487889382339,DorothyDay,4,4.0,4.13832621823
259,328,DorothyDay_test09,10,10.9757621288,0.0920558120994,0.0314470060879,1.0,0.0,13.1,0.17278186931,0.666314698275,0.538597735879,DorothyDay,4,4.0,3.86981300117
266,357,DorothyDay_test05,10,9.99310588837,0.092930730926,0.0420039693111,1.0,0.0,10.9,0.156094751602,0.626451272917,0.706070896797,DorothyDay,4,4.0,3.841487856
267,13,Rabbinic_test02,10,13.9764769077,0.0981279108857,0.0338581057346,1.0,0.0,18.7,0.249872669916,0.61057494704,0.413384595769,Rabbinic,6,6.0,5.95965386465
269,66,Rabbinic_test04,10,14.2877290249,0.0935000532754,0.0359028279868,1.0,0.0,21.3,0.277714605044,0.635157401464,0.503729654529,Rabbinic,6,6.2,5.76670701372
274,171,Rabbinic_test01,10,17.2475340366,0.0987806282856,0.0379843960308,1.0,0.0,24.6,0.264757144625,0.606881394233,0.581282503133,Rabbinic,6,5.4,6.71648843657
276,219,Rabbinic_test03,10,19.0810410976,0.0959603370711,0.0450357064646,0.9,0.1,28.0,0.247737490866,0.637529380254,0.522144641604,Rabbinic,6,5.3,5.2635372758
282,319,Rabbinic_test00,10,12.5863051414,0.0966018726699,0.034331279322,1.0,0.0,20.4,0.301042802209,0.634078681256,0.362025261815,Rabbinic,6,6.0,6.04918681806
286,28,WBC_test11,10,23.0555818081,0.0839445769154,0.0663882543462,0.6,0.4,30.5,0.208565455348,0.645061137285,0.4687297041,WBC,1,1.2,1.15104888883
287,47,WBC_test06,10,21.5532867908,0.0808209386248,0.0744353830128,0.5,0.5,26.3,0.177817993689,0.714067289397,0.676407326663,WBC,1,1.0,1.06393331134
297,113,WBC_test00,10,19.9560608864,0.0763095326761,0.0863402922665,0.4,0.6,25.6,0.177687712626,0.647998949949,0.588115656771,WBC,1,1.0,1.2895106872
300,141,WBC_test12,6,14.6130440235,0.0813077266775,0.0680547156406,0.833333333333,0.166666666667,33.3333333333,0.2066552358,0.670182668855,0.632584664268,WBC,1,1.4,1.20697468697
302,151,WBC_test05,10,20.9867780209,0.0817536773204,0.0749246108211,0.6,0.4,27.8,0.180149915765,0.695936129627,0.537638112479,WBC,1,1.0,1.24579841032
303,166,WBC_test02,10,20.4915151596,0.0863755467012,0.0771705285724,0.6,0.4,27.8,0.195331256828,0.635168512986,0.677451554664,WBC,1,1.0,0.793382259642
307,186,WBC_test10,10,19.0537319183,0.0747127633563,0.0747936573362,0.5,0.5,21.9,0.164479643618,0.646472418842,0.610635832618,WBC,1,1.3,1.15548434105
308,203,WBC_test07,10,21.6546859741,0.0793616255278,0.0766965731154,0.5,0.5,29.8,0.212708920083,0.66396345534,0.809356297446,WBC,1,1.0,0.98634499431
310,228,WBC_test09,10,19.2986159325,0.0788795818627,0.0740903708656,0.6,0.4,21.6,0.168428446857,0.646451903877,0.688854048666,WBC,1,1.3,1.10105209776
313,237,WBC_test08,10,21.3142118454,0.0759551381204,0.0686930705614,0.8,0.2,25.5,0.171399555524,0.650799795864,0.68195859539,WBC,1,1.0,1.84004094859
315,254,WBC_test01,10,21.5253920555,0.0880034465442,0.0805399992809,0.6,0.4,26.1,0.17684678955,0.654584021873,0.647982491955,WBC,1,1.0,0.788148521485
321,312,WBC_test03,10,19.7882540226,0.0779987191853,0.0700874529309,0.8,0.2,24.4,0.200511572098,0.646378376876,0.669519794398,WBC,1,1.0,1.53944431854
326,355,WBC_test04,10,24.3220198154,0.0872426312238,0.078337362047,0.6,0.4,30.2,0.166395816416,0.593540842567,0.64519015613,WBC,1,1.6,0.98501939069
327,24,PastorAnderson_test01,10,72.7833209038,0.0876423263653,0.045402435239,0.9,0.1,58.8,0.0734569435405,0.610513905989,0.495984578815,PastorAnderson,2,2.1,2.17927387657
330,73,PastorAnderson_test06,9,61.475880146,0.0889779778859,0.0514694892422,1.0,0.0,56.4444444444,0.0782208104255,0.604192581502,0.512355912847,PastorAnderson,2,3.1,2.76194148879
334,136,PastorAnderson_test04,10,74.0712020397,0.0834530060863,0.0542469577245,0.9,0.1,57.9,0.0739429336523,0.612541080766,0.487302514205,PastorAnderson,2,2.1,2.00121765464
337,183,PastorAnderson_test02,10,74.9345200062,0.08257347989,0.0459170609146,1.0,0.0,60.6,0.0686509882165,0.612254135426,0.731086676944,PastorAnderson,2,2.0,2.06425251912
339,233,PastorAnderson_test00,10,70.4929049015,0.0802639141622,0.0461244777276,1.0,0.0,58.4,0.0669847335501,0.662887602126,0.655114285129,PastorAnderson,2,2.0,1.91360579365
344,277,PastorAnderson_test05,10,69.1088848114,0.0841955415529,0.0489094391045,1.0,0.0,60.2,0.0818297017457,0.653764344165,0.726472855526,PastorAnderson,2,2.0,2.14595394681
348,331,PastorAnderson_test03,10,69.9182450771,0.0920440580621,0.0493412617639,1.0,0.0,63.9,0.0876302299428,0.603348777283,0.668875134773,PastorAnderson,2,4.5,2.5575041764
350,29,NaumanKhan_test00,10,37.1789839268,0.0819861568082,0.0331191539964,1.0,0.0,35.4,0.112528156308,0.515704855096,0.51083634838,NaumanKhan,3,2.8,3.09957905194
351,32,NaumanKhan_test01,10,36.2687399387,0.0864716984675,0.0433157196276,1.0,0.0,28.8,0.108695693884,0.495959701378,0.433896828529,NaumanKhan,3,4.0,3.72136006135
353,90,NaumanKhan_test02,6,22.8499789238,0.0852040036648,0.032434448122,1.0,0.0,34.8333333333,0.117117463508,0.561246632998,0.646479682657,NaumanKhan,3,2.8,3.6575855436
